AVENIDA;Adalina Aparecida Fuzetto da Silva;Portal Terra da Saudade
AVENIDA;Adelmo Mingossi;Vila Cardim Setor IV
AVENIDA;Adolfo Guandalini;São Lourenço do Turvo
AVENIDA;Alagoas;sem denominação Jardim do Bosque Setor I
AVENIDA;Alagoas;Prolongamento Portal Terra da Saudade
AVENIDA;Alagoas;Jardim do Bosque Setor II
AVENIDA;Alagoas;Prolongamento Jardim Popular
AVENIDA;Alberto Benassi;Nova Matão
AVENIDA;Albino João Baldan;Jardim Paraíso
AVENIDA;Alcides Gulini;Jardim Popular
AVENIDA;Aldo Nicolucci;Jardim São José
AVENIDA;Alexandre Dalle Vedove;Vila Zanardi Setor I e Loteamento D´Angelo
AVENIDA;Alexandre dos Santos Pires;Rua A Park do Imperador
AVENIDA;Alexandre dos Santos Pires;Residencial Azulville II
AVENIDA;Alexandre dos Santos Pires;Giuseppina Pirolla Bidutte e outros
AVENIDA;Alfredo Domingues de Moraes;Jardim Primavera
AVENIDA;Alice Alcará Serafim;Portal Terra da Saudade
AVENIDA;Altebano Mortari;Portal Terra da Saudade
AVENIDA;Altino Mariano de Souza;Cidade Jardim
AVENIDA;Amália Mingossi;Jardim Primavera
AVENIDA;Amâncio Aparecido Lopes;RuaJardim Primavera São Lourenço do Turvo
AVENIDA;Amapá;Jardim do Bosque Setor IV
AVENIDA;Américo Brasiliense; G Jardim Buscardi
AVENIDA;Américo Brasiliense;Prolongamento Felício Colombari
AVENIDA;Américo Brasiliense;Prolongamento Jardim Aeroporto II
AVENIDA;Ana Maria Gomes;RuaConjunto Habitacional Matão I João Vital
AVENIDA;André Rizzo; D Jardim Pereira ou Vila Pereira
AVENIDA;André Rizzo;Prolongamento Jardim Padre Nelson
AVENIDA;Anésio Scutti;Nova Cidade
AVENIDA;Angelin Ré;RuaConjunto Habitacional Matão I João Vital
AVENIDA;Angelin Ré;Residencial Maria Cândida
AVENIDA;Angelin Ré; Marginal Jardim Morumbi
AVENIDA;Angelin Ré; Marginal Jardim Morumbi II
AVENIDA;Angelin Ré; C Residencial Vila Maria
